activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,inchikey,np_score,short_inchikey,wikidata_id
,CHEMBL4052047,CNCc1cc(Cl)cc(OCc2ccc3ccc(N)nc3c2)c1.Cl.Cl,,CHEMBL4049447,J Med Chem,CHEMBL4097845,=,=,Ki,nM,16800.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,16.8,CNCc1cc(Cl)cc(OCc2ccc3ccc(N)nc3c2)c1.Cl.Cl,ABERJDKOXKCQKV-UHFFFAOYSA-N,-0.6451439647002839,ABERJDKOXKCQKV,no_wikidata_match
,CHEMBL3047051,Nc1cccc(N2C(=O)c3cccc4cccc(c34)C2=O)c1,,CHEMBL3045031,Med Chem Res,CHEMBL2237496,=,=,Inhibition,%,81.4,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,81.4,Nc1cccc(N2C(=O)c3cccc4cccc(c34)C2=O)c1,ABVCLQYTPSSPPB-UHFFFAOYSA-N,-0.8431034321438274,ABVCLQYTPSSPPB,no_wikidata_match
,CHEMBL921238,Cl.N=C(NCCCCCC(=O)N[C@@H]1CN[C@H](C(=O)NCc2ccccc2)C1)N[N+](=O)[O-],,CHEMBL1143872,Bioorg Med Chem,CHEMBL557950,=,=,IC50,nM,43500.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,43.5,Cl.N=C(NCCCCCC(=O)N[C@@H]1CN[C@H](C(=O)NCc2ccccc2)C1)N[N+](=O)[O-],ACGNZKMCLAEAHW-MOGJOVFKSA-N,-0.5633507740151289,ACGNZKMCLAEAHW,no_wikidata_match
,CHEMBL3130586,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,,CHEMBL3124811,J Med Chem,CHEMBL3125050,=,=,Ki,nM,66400.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki(app),uM,66.4,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,ACHJMDNIBGAZJH-UHFFFAOYSA-N,-0.9274396085348966,ACHJMDNIBGAZJH,http://www.wikidata.org/entity/Q27460987
359435,CHEMBL3887879,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,,CHEMBL3886484,Unknown journal,CHEMBL3125050,=,=,Ki,nM,66400.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,66400.0,N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,ACHJMDNIBGAZJH-UHFFFAOYSA-N,-0.9274396085348966,ACHJMDNIBGAZJH,http://www.wikidata.org/entity/Q27460987
,CHEMBL700498,CC/N=C(/N)NCCCC(N)C(=O)O,,CHEMBL1130243,J Med Chem,CHEMBL333229,=,=,Ki,nM,6100.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,6100.0,CC/N=C(/N)NCCCC(N)C(=O)O,ACYCISZIFHPQCU-UHFFFAOYSA-N,0.4850910102063429,ACYCISZIFHPQCU,no_wikidata_match
,CHEMBL4346017,CCOc1ccc(-c2ccc3c(C)cc(N)nc3c2)cc1CN,,CHEMBL4342518,J Med Chem,CHEMBL4464663,=,=,Ki,nM,24200.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,24.2,CCOc1ccc(-c2ccc3c(C)cc(N)nc3c2)cc1CN,AGWWSGQCTLAMKS-UHFFFAOYSA-N,-0.46008358840854335,AGWWSGQCTLAMKS,no_wikidata_match
,CHEMBL1664436,O=C(O)c1c(O)cccc1O,,CHEMBL1649420,J Med Chem,CHEMBL454808,=,=,Inhibition,%,17.0,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,17.0,O=C(O)c1c(O)cccc1O,AKEUNCKRJATALU-UHFFFAOYSA-N,0.6224535674430638,AKEUNCKRJATALU,http://www.wikidata.org/entity/Q4596804
,CHEMBL4355264,CCCc1nn(C)c2c(NC(C)C)nc(/C=C/c3ccccc3)nc12,,CHEMBL4354797,J Med Chem,CHEMBL4446503,=,=,IC50,nM,8460.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,8.46,CCCc1nn(C)c2c(NC(C)C)nc(/C=C/c3ccccc3)nc12,AKISCYHRJRBFFV-OUKQBFOZSA-N,-0.757205940707452,AKISCYHRJRBFFV,no_wikidata_match
,CHEMBL3820408,Cc1cc(N)nc(CCc2cncc(N3CCCCC3)c2)c1,,CHEMBL3817743,J Med Chem,CHEMBL3818073,=,=,Ki,nM,5642.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,5642.0,Cc1cc(N)nc(CCc2cncc(N3CCCCC3)c2)c1,AKRCKJOKFKEMIF-UHFFFAOYSA-N,-0.8720435024833953,AKRCKJOKFKEMIF,no_wikidata_match
,CHEMBL1056369,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,,CHEMBL1152488,Eur J Med Chem,CHEMBL550511,=,=,Activity,%,73.0,CHEMBL3464,"Nitric oxide synthase, inducible",Activity,%,73.0,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,ALJHQWBYLYVACP-UHFFFAOYSA-N,-0.4589474473725409,ALJHQWBYLYVACP,no_wikidata_match
,CHEMBL1056365,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,,CHEMBL1152488,Eur J Med Chem,CHEMBL550511,=,=,Activity,%,45.0,CHEMBL3464,"Nitric oxide synthase, inducible",Activity,%,45.0,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,ALJHQWBYLYVACP-UHFFFAOYSA-N,-0.4589474473725409,ALJHQWBYLYVACP,no_wikidata_match
,CHEMBL1056374,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,,CHEMBL1152488,Eur J Med Chem,CHEMBL550511,=,=,Inhibition,%,64.0,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,64.0,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,ALJHQWBYLYVACP-UHFFFAOYSA-N,-0.4589474473725409,ALJHQWBYLYVACP,no_wikidata_match
,CHEMBL2344057,Cc1cccc(C2CC2NCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1,,CHEMBL2331549,Bioorg Med Chem,CHEMBL2332792,=,=,Ki,nM,12000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,12.0,Cc1cccc(C2CC2NCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1,AMEMBWOWTMXVHT-QBKZBJQZSA-N,-0.256443273753625,AMEMBWOWTMXVHT,no_wikidata_match
,CHEMBL4153940,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)CCC(N)=O)c1.Cl.Cl,,CHEMBL4152230,Eur J Med Chem,CHEMBL4171037,>,>,IC50,nM,10000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,10.0,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)CCC(N)=O)c1.Cl.Cl,AMPBKBPXEOLWSW-GXKRWWSZSA-N,0.030466988439029136,AMPBKBPXEOLWSW,no_wikidata_match
,CHEMBL2343148,COc1cc(CCC(=O)O)oc(=O)c1,,CHEMBL2331431,J Nat Prod,CHEMBL2331727,>,>,IC50,nM,20000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,20.0,COc1cc(CCC(=O)O)oc(=O)c1,ANMIXQYGZDPTLJ-UHFFFAOYSA-N,0.8349023209882,ANMIXQYGZDPTLJ,http://www.wikidata.org/entity/Q104085486
,CHEMBL700498,CCC/N=C(/N)NCCCC(N)C(=O)O,,CHEMBL1130243,J Med Chem,CHEMBL126713,=,=,Ki,nM,1.8,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,1.8,CCC/N=C(/N)NCCCC(N)C(=O)O,AOMXURITGZJPKB-UHFFFAOYSA-N,0.5904771641063201,AOMXURITGZJPKB,http://www.wikidata.org/entity/Q6951398
