activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,inchikey,np_score,short_inchikey,wikidata_id
,CHEMBL1762844,CCOC(=O)c1c(F)c(F)c2[nH]nc(O)c2c1F,,CHEMBL1759883,Eur J Med Chem,CHEMBL1762748,=,=,Inhibition,%,51.8,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,51.8,CCOC(=O)c1c(F)c(F)c2[nH]nc(O)c2c1F,ADIBHHLBVBRJPW-UHFFFAOYSA-N,-0.8404208410544,ADIBHHLBVBRJPW,no_wikidata_match
,CHEMBL960400,CCOC(=O)C1CC(C(=O)c2cc(Cl)ccc2N)=NN1,,CHEMBL1140983,Eur J Med Chem,CHEMBL453185,=,=,Inhibition,%,19.1,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,19.1,CCOC(=O)C1CC(C(=O)c2cc(Cl)ccc2N)=NN1,BBCSPGPZRDCBCF-UHFFFAOYSA-N,-0.6792764439486099,BBCSPGPZRDCBCF,no_wikidata_match
,CHEMBL696856,N/C(S)=N/CCC[C@H](N)C(=O)O,,CHEMBL1127683,J Med Chem,CHEMBL93247,=,=,Inhibition,%,87.0,CHEMBL3051,"Nitric oxide synthase, inducible",Inhibition,%,87.0,N/C(S)=N/CCC[C@H](N)C(=O)O,BKGWACHYAMTLAF-BYPYZUCNSA-N,0.9941330184827168,BKGWACHYAMTLAF,http://www.wikidata.org/entity/Q27094813
,CHEMBL872049,N/C(S)=N/CCC[C@H](N)C(=O)O,,CHEMBL1127683,J Med Chem,CHEMBL93247,=,=,Inhibition,%,34.0,CHEMBL3051,"Nitric oxide synthase, inducible",Inhibition,%,34.0,N/C(S)=N/CCC[C@H](N)C(=O)O,BKGWACHYAMTLAF-BYPYZUCNSA-N,0.9941330184827168,BKGWACHYAMTLAF,http://www.wikidata.org/entity/Q27094813
,CHEMBL696856,N/C(S)=N/CCC[C@@H](N)C(=O)O,,CHEMBL1127683,J Med Chem,CHEMBL168461,<,<,Inhibition,%,1.0,CHEMBL3051,"Nitric oxide synthase, inducible",Inhibition,%,1.0,N/C(S)=N/CCC[C@@H](N)C(=O)O,BKGWACHYAMTLAF-SCSAIBSYSA-N,0.9941330184827168,BKGWACHYAMTLAF,no_wikidata_match
,CHEMBL1046061,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,,CHEMBL1152545,Bioorg Med Chem,CHEMBL595197,=,=,Inhibition,%,80.0,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,80.0,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,BLRLNVDCKOMIHM-UHFFFAOYSA-N,-0.49063024919703757,BLRLNVDCKOMIHM,no_wikidata_match
,CHEMBL1046063,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,,CHEMBL1152545,Bioorg Med Chem,CHEMBL595197,=,=,Activity,%,20.0,CHEMBL3051,"Nitric oxide synthase, inducible",Activity,%,20.0,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,BLRLNVDCKOMIHM-UHFFFAOYSA-N,-0.49063024919703757,BLRLNVDCKOMIHM,no_wikidata_match
,CHEMBL1046064,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,,CHEMBL1152545,Bioorg Med Chem,CHEMBL595197,=,=,Activity,%,58.0,CHEMBL3051,"Nitric oxide synthase, inducible",Activity,%,58.0,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,BLRLNVDCKOMIHM-UHFFFAOYSA-N,-0.49063024919703757,BLRLNVDCKOMIHM,no_wikidata_match
,CHEMBL1046065,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,,CHEMBL1152545,Bioorg Med Chem,CHEMBL595197,=,=,Activity,%,90.0,CHEMBL3051,"Nitric oxide synthase, inducible",Activity,%,90.0,Fc1c(F)c(F)c(-c2n[nH]c3c(F)c(F)c(F)c(F)c23)c(F)c1F,BLRLNVDCKOMIHM-UHFFFAOYSA-N,-0.49063024919703757,BLRLNVDCKOMIHM,no_wikidata_match
,CHEMBL2415111,S=C1NC(c2cccc(Oc3ccccc3)c2)N2CCCCN12,,CHEMBL2412959,Bioorg Med Chem,CHEMBL2414851,=,=,Inhibition,%,10.0,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,10.0,S=C1NC(c2cccc(Oc3ccccc3)c2)N2CCCCN12,BMJQFQXQDACGLQ-UHFFFAOYSA-N,-0.8232039081101824,BMJQFQXQDACGLQ,no_wikidata_match
